Drug;Line;Pathway;Target;Enriched.Target;is.pathway.enriched;is.target.enriched
NVP-AEW541;D013T01;Protein Tyrosine Kinase;IGF-1R;NA;FALSE;FALSE
OSI-420;D013T01;Protein Tyrosine Kinase;EGFR;NA;FALSE;FALSE
OSI-906 (Linsitinib);D013T01;Others;IGF-1R;igf-1r;FALSE;TRUE
P276-00;D013T01;Cell Cycle;CDK;NA;FALSE;FALSE
Pacritinib (SB1518);D013T01;JAK/STAT;JAK;NA;FALSE;FALSE
PD0325901;D013T01;DNA Damage;MEK;mek;FALSE;TRUE
PD168393;D013T01;Protein Tyrosine Kinase;EGFR;NA;FALSE;FALSE
PD318088;D013T01;MAPK;MEK;mek;TRUE;TRUE
Pelitinib (EKB-569);D013T01;Protein Tyrosine Kinase;EGFR;NA;FALSE;FALSE
PF-00562271;D013T01;Angiogenesis;FAK;NA;FALSE;FALSE
PF-04691502;D013T01;PI3K/Akt/mTOR;mTOR, PI3K, Akt;akt;FALSE;TRUE
PF-3758309;D013T01;Cytoskeletal Signaling;PAK;NA;FALSE;FALSE
PF-431396;D013T01;Angiogenesis;FAK;NA;FALSE;FALSE
PF-4708671;D013T01;PI3K/Akt/mTOR;S6 Kinase;NA;FALSE;FALSE
PF-477736;D013T01;Cell Cycle;Chk;NA;FALSE;FALSE
PF-562271;D013T01;Angiogenesis;FAK;NA;FALSE;FALSE
PHA-680632;D013T01;Cell Cycle;Aurora Kinase;aurora kinase;FALSE;TRUE
PHA-767491;D013T01;Cell Cycle;CDK;NA;FALSE;FALSE
PP121;D013T01;Protein Tyrosine Kinase;DNA-PK, mTOR, PDGF;NA;FALSE;FALSE
PP242;D013T01;PI3K/Akt/mTOR;mTOR;NA;FALSE;FALSE
PRT062607 (P505-15, BIIB057) HCl;D013T01;Angiogenesis;Syk;NA;FALSE;FALSE
Quizartinib (AC220);D013T01;Angiogenesis;Flt;NA;FALSE;FALSE
R547;D013T01;Cell Cycle;CDK;NA;FALSE;FALSE
RAF265 (CHIR-265);D013T01;MAPK;Raf, VEGFR;NA;TRUE;FALSE
Refametinib (RDEA119, Bay 86-9766);D013T01;Others;MEK;mek;FALSE;TRUE
Rigosertib (ON-01910);D013T01;Cell Cycle;PLK;NA;FALSE;FALSE
Ro 31-8220 Mesylate;D013T01;TGF-beta/Smad;PKC;NA;FALSE;FALSE
Ro3280;D013T01;Cell Cycle;PLK;NA;FALSE;FALSE
Saracatinib (AZD0530);D013T01;Angiogenesis;Src, Bcr-Abl;NA;FALSE;FALSE
SC1;D013T01;MAPK;ERK;NA;FALSE;FALSE
SGI-7079;D013T01;Protein Tyrosine Kinase;VEGFR;NA;FALSE;FALSE
SNS-032 (BMS-387032);D013T01;Others;CDK;NA;FALSE;FALSE
SNS-314 Mesylate;D013T01;Others;Aurora Kinase;aurora kinase;FALSE;TRUE
Staurosporine_500nM;D013T01;NA;NA;NA;FALSE;FALSE
TAE226 (NVP-TAE226);D013T01;Angiogenesis;FAK;NA;FALSE;FALSE
TAK-733;D013T01;MAPK;MEK;NA;FALSE;FALSE
TAK-901;D013T01;Cell Cycle;Aurora Kinase;NA;FALSE;FALSE
Tepotinib (EMD 1214063);D013T01;Protein Tyrosine Kinase;c-Met;NA;FALSE;FALSE
TG101209;D013T01;JAK/STAT;Flt, JAK, c-RET;NA;FALSE;FALSE
TG101348 (SAR302503);D013T01;JAK/STAT;JAK;NA;FALSE;FALSE
Tivantinib (ARQ 197);D013T01;Protein Tyrosine Kinase;c-Met;NA;TRUE;FALSE
Torin 2;D013T01;PI3K/Akt/mTOR;mTOR;NA;FALSE;FALSE
TPCA-1;D013T01;NF-_B;IKK;NA;FALSE;FALSE
Trametinib (GSK1120212);D013T01;MAPK;MEK;NA;FALSE;FALSE
Uprosertib (GSK2141795);D013T01;PI3K/Akt/mTOR;Akt;akt;FALSE;TRUE
Vacquinol-1;D013T01;MAPK;JNK;NA;FALSE;FALSE
VE-822;D013T01;PI3K/Akt/mTOR;ATM, ATR;atm;FALSE;TRUE
VPS34-IN1;D013T01;PI3K/Akt/mTOR;PI3K;pi3k;FALSE;TRUE
VS-5584 (SB2343);D013T01;PI3K/Akt/mTOR;PI3K;pi3k;FALSE;TRUE
VX-680 (Tozasertib, MK-0457);D013T01;Endocrinology & Hormones;Aurora Kinase;aurora kinase;FALSE;TRUE
Wnt agonist 1;D013T01;Stem Cells &  Wnt;Wnt, beta-catenin;NA;FALSE;FALSE
WYE-354;D013T01;PI3K/Akt/mTOR;mTOR;mtor;TRUE;TRUE
WZ3146;D013T01;Protein Tyrosine Kinase;EGFR;egfr;TRUE;TRUE
A-674563;D018T01;PI3K/Akt/mTOR;Akt, CDK, PKA;cdk;FALSE;TRUE
AEE788 (NVP-AEE788);D018T01;Protein Tyrosine Kinase;EGFR, Flt, VEGFR, HER2;egfr;TRUE;TRUE
AG-1478 (Tyrphostin AG-1478);D018T01;Protein Tyrosine Kinase;EGFR;egfr;TRUE;TRUE
AMG-900;D018T01;Cell Cycle;Aurora Kinase;NA;FALSE;FALSE
AP26113;D018T01;Protein Tyrosine Kinase;ALK;NA;FALSE;FALSE
AT7519;D018T01;Cell Cycle;CDK;cdk;TRUE;TRUE
AT9283;D018T01;Others;Bcr-Abl, JAK, Aurora Kinase;jak;FALSE;TRUE
AZ 960;D018T01;JAK/STAT;JAK;NA;FALSE;FALSE
AZ20;D018T01;PI3K/Akt/mTOR;ATM, ATR;NA;FALSE;FALSE
AZD1080;D018T01;PI3K/Akt/mTOR;GSK-3;NA;TRUE;FALSE
AZD1480;D018T01;JAK/STAT;JAK;NA;FALSE;FALSE
AZD2014;D018T01;PI3K/Akt/mTOR;mTOR;mtor;TRUE;TRUE
AZD2858;D018T01;PI3K/Akt/mTOR;GSK-3;gsk-3;TRUE;TRUE
AZD3463;D018T01;Protein Tyrosine Kinase;ALK;NA;TRUE;FALSE
AZD5363;D018T01;PI3K/Akt/mTOR;Akt;akt;FALSE;TRUE
AZD5438;D018T01;Cell Cycle;CDK;NA;FALSE;FALSE
AZD7762;D018T01;Cell Cycle;Chk;NA;FALSE;FALSE
AZD8055;D018T01;PI3K/Akt/mTOR;mTOR;NA;FALSE;FALSE
AZD8330;D018T01;MAPK;MEK;NA;FALSE;FALSE
AZD8931 (Sapitinib);D018T01;Protein Tyrosine Kinase;EGFR, HER2;NA;FALSE;FALSE
AZD9291;D018T01;Protein Tyrosine Kinase;EGFR;egfr;TRUE;TRUE
BGT226 (NVP-BGT226);D018T01;PI3K/Akt/mTOR;PI3K, mTOR;pi3k;TRUE;TRUE
BI 2536;D018T01;Others;PLK;NA;FALSE;FALSE
BKM120 (NVP-BKM120, Buparlisib);D018T01;PI3K/Akt/mTOR;PI3K;NA;FALSE;FALSE
BMS-754807;D018T01;Others;IGF-1R;NA;FALSE;FALSE
Bortezomib__0.2;D018T01;NA;PSMB1;NA;FALSE;FALSE
Bortezomib__1.0;D018T01;NA;PSMB1;NA;FALSE;FALSE
CC-223;D018T01;PI3K/Akt/mTOR;mTOR;NA;FALSE;FALSE
CHIR-124;D018T01;Cell Cycle;Chk;NA;TRUE;FALSE
CHIR-98014;D018T01;PI3K/Akt/mTOR;GSK-3;gsk-3;TRUE;TRUE
CHIR-99021 (CT99021) HCl;D018T01;PI3K/Akt/mTOR;PI3K, Akt, mTOR;NA;TRUE;FALSE
CNX-2006;D018T01;Protein Tyrosine Kinase;EGFR;egfr;TRUE;TRUE
Cobimetinib (GDC-0973, RG7420);D018T01;MAPK;MEK;mek;TRUE;TRUE
CP-673451;D018T01;Protein Tyrosine Kinase;PDGFR;NA;FALSE;FALSE
Crenolanib (CP-868596);D018T01;Protein Tyrosine Kinase;PDGFR;pdgfr;FALSE;TRUE
Crizotinib (PF-02341066);D018T01;Others;c-Met, ALK;NA;FALSE;FALSE
CUDC-101;D018T01;Epigenetics;HDAC, EGFR, HER2;NA;FALSE;FALSE
CUDC-907;D018T01;Cytoskeletal Signaling;HDAC, PI3K;NA;FALSE;FALSE
Dacomitinib (PF299804, PF299);D018T01;Protein Tyrosine Kinase;EGFR;egfr;TRUE;TRUE
Danusertib (PHA-739358);D018T01;Others;Aurora Kinase, FGFR, Bcr-Abl, c-RET, Src;NA;FALSE;FALSE
DASA-58;D018T01;Others;PKM2;NA;FALSE;FALSE
Dasatinib;D018T01;Angiogenesis;Src, Bcr-Abl, c-Kit;NA;FALSE;FALSE
Dinaciclib (SCH727965);D018T01;Cell Cycle;CDK;cdk;TRUE;TRUE
Dovitinib (TKI-258) Dilactic Acid;D018T01;Angiogenesis;Flt, FGFR, PDGFR, VEGFR, c-Kit;pdgfr;FALSE;TRUE
ENMD-2076;D018T01;Angiogenesis;Flt, Aurora Kinase, VEGFR;NA;FALSE;FALSE
FH535;D018T01;Stem Cells &  Wnt;Wnt, beta-catenin;NA;FALSE;FALSE
Flavopiridol (Alvocidib);D018T01;Cell Cycle;CDK;cdk;TRUE;TRUE
Flavopiridol HCl;D018T01;Cell Cycle;CDK;cdk;TRUE;TRUE
Fostamatinib (R788);D018T01;Angiogenesis;Syk;NA;FALSE;FALSE
FRAX597;D018T01;Cytoskeletal Signaling;PAK;NA;FALSE;FALSE
GDC-0068;D018T01;PI3K/Akt/mTOR;Akt;NA;FALSE;FALSE
GDC-0349;D018T01;PI3K/Akt/mTOR;mTOR;mtor;TRUE;TRUE
Gefitinib (ZD1839);D018T01;Protein Tyrosine Kinase;EGFR;egfr;TRUE;TRUE
Golvatinib (E7050);D018T01;Protein Tyrosine Kinase;c-Met, VEGFR;NA;FALSE;FALSE
GSK2126458 (GSK458);D018T01;PI3K/Akt/mTOR;PI3K, mTOR;NA;TRUE;FALSE
GSK461364;D018T01;Cell Cycle;PLK;NA;TRUE;FALSE
GSK690693;D018T01;Others;Akt;akt;FALSE;TRUE
GZD824;D018T01;Angiogenesis;Bcr-Abl;NA;FALSE;FALSE
Hesperadin;D018T01;Cell Cycle;Aurora Kinase;NA;FALSE;FALSE
HMN-214;D018T01;Cell Cycle;PLK;plk;FALSE;TRUE
HS-173;D018T01;PI3K/Akt/mTOR;PI3K;NA;FALSE;FALSE
Ibrutinib (PCI-32765);D018T01;Angiogenesis;Src;NA;FALSE;FALSE
IKK-16 (IKK Inhibitor VII);D018T01;NF-_B;IKK;NA;FALSE;FALSE
Imatinib Mesylate (STI571);D018T01;Protein Tyrosine Kinase;PDGFR, c-Kit, Bcr-Abl;NA;TRUE;FALSE
IMD 0354;D018T01;NF-_B;IKK;NA;FALSE;FALSE
INK 128 (MLN0128);D018T01;PI3K/Akt/mTOR;mTOR;mtor;TRUE;TRUE
Irinotecan / SN-38__0.2;D018T01;NA;TOP1MT;NA;FALSE;FALSE
Irinotecan / SN-38__1.0;D018T01;NA;TOP1MT;NA;FALSE;FALSE
JNJ-7706621;D018T01;Cell Cycle;CDK, Aurora Kinase;cdk;TRUE;TRUE
JNK Inhibitor IX;D018T01;MAPK;JNK;NA;FALSE;FALSE
JNK-IN-8;D018T01;MAPK;JNK;NA;FALSE;FALSE
KW-2449;D018T01;Angiogenesis;Flt, Bcr-Abl, Aurora Kinase;bcr-abl;TRUE;TRUE
KX2-391;D018T01;Angiogenesis;Src;NA;FALSE;FALSE
LDC000067;D018T01;Cell Cycle;CDK;NA;FALSE;FALSE
LDN-214117;D018T01;TGF-beta/Smad;TGF-beta, Smad;NA;FALSE;FALSE
LGK-974;D018T01;Stem Cells &  Wnt;Wnt, beta-catenin;NA;FALSE;FALSE
LY2090314;D018T01;PI3K/Akt/mTOR;GSK-3;gsk-3;TRUE;TRUE
LY3023414;D018T01;PI3K/Akt/mTOR;Akt;NA;FALSE;FALSE
Milciclib (PHA-848125);D018T01;Cell Cycle;CDK;NA;FALSE;FALSE
Mubritinib (TAK 165);D018T01;Protein Tyrosine Kinase;HER2;NA;FALSE;FALSE
NVP-AEW541;D018T01;Protein Tyrosine Kinase;IGF-1R;NA;FALSE;FALSE
OSI-420;D018T01;Protein Tyrosine Kinase;EGFR;egfr;TRUE;TRUE
P276-00;D018T01;Cell Cycle;CDK;cdk;TRUE;TRUE
Pacritinib (SB1518);D018T01;JAK/STAT;JAK;jak;FALSE;TRUE
PD0325901;D018T01;DNA Damage;MEK;NA;FALSE;FALSE
PD168393;D018T01;Protein Tyrosine Kinase;EGFR;egfr;TRUE;TRUE
PD173955;D018T01;Angiogenesis;Bcr-Abl;bcr-abl;TRUE;TRUE
PD318088;D018T01;MAPK;MEK;mek;TRUE;TRUE
Pelitinib (EKB-569);D018T01;Protein Tyrosine Kinase;EGFR;NA;FALSE;FALSE
PF-00562271;D018T01;Angiogenesis;FAK;NA;FALSE;FALSE
PF-04691502;D018T01;PI3K/Akt/mTOR;mTOR, PI3K, Akt;pi3k;TRUE;TRUE
PF-3758309;D018T01;Cytoskeletal Signaling;PAK;NA;FALSE;FALSE
PF-431396;D018T01;Angiogenesis;FAK;NA;FALSE;FALSE
PF-4708671;D018T01;PI3K/Akt/mTOR;S6 Kinase;NA;FALSE;FALSE
PF-477736;D018T01;Cell Cycle;Chk;NA;FALSE;FALSE
PF-543;D018T01;GPCR & G Protein;SphK1;NA;FALSE;FALSE
PF-562271;D018T01;Angiogenesis;FAK;NA;FALSE;FALSE
PF-573228;D018T01;Angiogenesis;FAK;NA;TRUE;FALSE
PHA-680632;D018T01;Cell Cycle;Aurora Kinase;NA;FALSE;FALSE
PHA-767491;D018T01;Cell Cycle;CDK;NA;FALSE;FALSE
PHA-793887;D018T01;Cell Cycle;CDK;cdk;TRUE;TRUE
Piceatannol;D018T01;Angiogenesis;Syk;NA;FALSE;FALSE
PIK-93;D018T01;PI3K/Akt/mTOR;PI3K, VEGFR;pi3k;TRUE;TRUE
Ponatinib (AP24534);D018T01;Angiogenesis;Bcr-Abl, VEGFR, FGFR, PDGFR, Flt;bcr-abl;TRUE;TRUE
PP1;D018T01;Angiogenesis;Src;NA;FALSE;FALSE
PP121;D018T01;Protein Tyrosine Kinase;DNA-PK, mTOR, PDGF;NA;FALSE;FALSE
PP2;D018T01;Angiogenesis;Src;NA;FALSE;FALSE
PP242;D018T01;PI3K/Akt/mTOR;mTOR;mtor;TRUE;TRUE
R547;D018T01;Cell Cycle;CDK;cdk;TRUE;TRUE
RAF265 (CHIR-265);D018T01;MAPK;Raf, VEGFR;vegfr;FALSE;TRUE
Refametinib (RDEA119, Bay 86-9766);D018T01;Others;MEK;NA;FALSE;FALSE
Rigosertib (ON-01910);D018T01;Cell Cycle;PLK;plk;FALSE;TRUE
Ro 31-8220 Mesylate;D018T01;TGF-beta/Smad;PKC;NA;FALSE;FALSE
Ro3280;D018T01;Cell Cycle;PLK;plk;FALSE;TRUE
Saracatinib (AZD0530);D018T01;Angiogenesis;Src, Bcr-Abl;NA;FALSE;FALSE
SC1;D018T01;MAPK;ERK;NA;FALSE;FALSE
SGI-7079;D018T01;Protein Tyrosine Kinase;VEGFR;NA;FALSE;FALSE
SNS-032 (BMS-387032);D018T01;Others;CDK;cdk;FALSE;TRUE
Staurosporine_500nM;D018T01;NA;NA;NA;FALSE;FALSE
SU6656;D018T01;Angiogenesis;Src;NA;FALSE;FALSE
TAE226 (NVP-TAE226);D018T01;Angiogenesis;FAK;NA;TRUE;FALSE
TAK-733;D018T01;MAPK;MEK;mek;TRUE;TRUE
TAK-901;D018T01;Cell Cycle;Aurora Kinase;NA;FALSE;FALSE
Tepotinib (EMD 1214063);D018T01;Protein Tyrosine Kinase;c-Met;NA;FALSE;FALSE
TG101209;D018T01;JAK/STAT;Flt, JAK, c-RET;jak;FALSE;TRUE
TG101348 (SAR302503);D018T01;JAK/STAT;JAK;NA;FALSE;FALSE
Tivantinib (ARQ 197);D018T01;Protein Tyrosine Kinase;c-Met;NA;FALSE;FALSE
Torin 2;D018T01;PI3K/Akt/mTOR;mTOR;NA;TRUE;FALSE
Trametinib (GSK1120212);D018T01;MAPK;MEK;mek;TRUE;TRUE
Triciribine;D018T01;Others;Akt;NA;FALSE;FALSE
Tyrphostin 9;D018T01;Protein Tyrosine Kinase;EGFR;NA;FALSE;FALSE
Tyrphostin AG 879;D018T01;Protein Tyrosine Kinase;HER2;NA;FALSE;FALSE
Uprosertib (GSK2141795);D018T01;PI3K/Akt/mTOR;Akt;akt;FALSE;TRUE
VPS34-IN1;D018T01;PI3K/Akt/mTOR;PI3K;NA;FALSE;FALSE
VS-5584 (SB2343);D018T01;PI3K/Akt/mTOR;PI3K;NA;FALSE;FALSE
Wnt agonist 1;D018T01;Stem Cells &  Wnt;Wnt, beta-catenin;NA;FALSE;FALSE
ZM 306416;D018T01;Protein Tyrosine Kinase;VEGFR;vegfr;TRUE;TRUE
A-674563;D019T01;PI3K/Akt/mTOR;Akt, CDK, PKA;NA;FALSE;FALSE
Alisertib (MLN8237);D019T01;Others;Aurora Kinase;aurora kinase;FALSE;TRUE
AMG-900;D019T01;Cell Cycle;Aurora Kinase;aurora kinase;FALSE;TRUE
AP26113;D019T01;Protein Tyrosine Kinase;ALK;alk;FALSE;TRUE
AT7519;D019T01;Cell Cycle;CDK;NA;FALSE;FALSE
AT9283;D019T01;Others;Bcr-Abl, JAK, Aurora Kinase;aurora kinase;FALSE;TRUE
AZ 960;D019T01;JAK/STAT;JAK;NA;FALSE;FALSE
AZ20;D019T01;PI3K/Akt/mTOR;ATM, ATR;atm;FALSE;TRUE
AZD1080;D019T01;PI3K/Akt/mTOR;GSK-3;gsk-3;FALSE;TRUE
AZD1480;D019T01;JAK/STAT;JAK;jak;TRUE;TRUE
AZD2014;D019T01;PI3K/Akt/mTOR;mTOR;mtor;TRUE;TRUE
AZD2858;D019T01;PI3K/Akt/mTOR;GSK-3;gsk-3;FALSE;TRUE
AZD3463;D019T01;Protein Tyrosine Kinase;ALK;NA;FALSE;FALSE
AZD5363;D019T01;PI3K/Akt/mTOR;Akt;NA;TRUE;FALSE
AZD5438;D019T01;Cell Cycle;CDK;cdk;TRUE;TRUE
AZD6738;D019T01;PI3K/Akt/mTOR;ATM, ATR;atm;FALSE;TRUE
AZD7762;D019T01;Cell Cycle;Chk;NA;FALSE;FALSE
AZD8055;D019T01;PI3K/Akt/mTOR;mTOR;NA;TRUE;FALSE
AZD8330;D019T01;MAPK;MEK;NA;TRUE;FALSE
BGT226 (NVP-BGT226);D019T01;PI3K/Akt/mTOR;PI3K, mTOR;NA;FALSE;FALSE
BI 2536;D019T01;Others;PLK;plk;FALSE;TRUE
BKM120 (NVP-BKM120, Buparlisib);D019T01;PI3K/Akt/mTOR;PI3K;NA;FALSE;FALSE
BMS-265246;D019T01;Cell Cycle;CDK;NA;FALSE;FALSE
BMS-536924;D019T01;Protein Tyrosine Kinase;IGF-1R;NA;FALSE;FALSE
BMS-754807;D019T01;Others;IGF-1R;NA;FALSE;FALSE
Bortezomib__0.2;D019T01;NA;PSMB1;NA;FALSE;FALSE
Bortezomib__1.0;D019T01;NA;PSMB1;NA;FALSE;FALSE
BX-912;D019T01;PI3K/Akt/mTOR;PDK-1;NA;FALSE;FALSE
BYL719;D019T01;PI3K/Akt/mTOR;PI3K;NA;FALSE;FALSE
CC-223;D019T01;PI3K/Akt/mTOR;mTOR;mtor;FALSE;TRUE
CH5132799;D019T01;PI3K/Akt/mTOR;PI3K, mTOR;NA;TRUE;FALSE
CHIR-124;D019T01;Cell Cycle;Chk;NA;FALSE;FALSE
CHIR-98014;D019T01;PI3K/Akt/mTOR;GSK-3;gsk-3;FALSE;TRUE
CHIR-99021 (CT99021);D019T01;PI3K/Akt/mTOR;GSK-3;NA;FALSE;FALSE
Cobimetinib (GDC-0973, RG7420);D019T01;MAPK;MEK;mek;TRUE;TRUE
CP-673451;D019T01;Protein Tyrosine Kinase;PDGFR;NA;FALSE;FALSE
Crenolanib (CP-868596);D019T01;Protein Tyrosine Kinase;PDGFR;NA;FALSE;FALSE
Crizotinib (PF-02341066);D019T01;Others;c-Met, ALK;alk;FALSE;TRUE
CUDC-101;D019T01;Epigenetics;HDAC, EGFR, HER2;NA;FALSE;FALSE
CUDC-907;D019T01;Cytoskeletal Signaling;HDAC, PI3K;NA;FALSE;FALSE
CYC116;D019T01;Cell Cycle;Aurora Kinase, VEGFR;aurora kinase;FALSE;TRUE
Danusertib (PHA-739358);D019T01;Others;Aurora Kinase, FGFR, Bcr-Abl, c-RET, Src;aurora kinase;FALSE;TRUE
Dasatinib;D019T01;Angiogenesis;Src, Bcr-Abl, c-Kit;NA;TRUE;FALSE
Dinaciclib (SCH727965);D019T01;Cell Cycle;CDK;cdk;TRUE;TRUE
ENMD-2076;D019T01;Angiogenesis;Flt, Aurora Kinase, VEGFR;aurora kinase;FALSE;TRUE
FH535;D019T01;Stem Cells &  Wnt;Wnt, beta-catenin;NA;FALSE;FALSE
Flavopiridol (Alvocidib);D019T01;Cell Cycle;CDK;NA;FALSE;FALSE
Flavopiridol HCl;D019T01;Cell Cycle;CDK;NA;FALSE;FALSE
FRAX597;D019T01;Cytoskeletal Signaling;PAK;NA;FALSE;FALSE
GDC-0349;D019T01;PI3K/Akt/mTOR;mTOR;mtor;TRUE;TRUE
GDC-0980 (RG7422);D019T01;PI3K/Akt/mTOR;mTOR, PI3K;NA;TRUE;FALSE
Golvatinib (E7050);D019T01;Protein Tyrosine Kinase;c-Met, VEGFR;c-met;FALSE;TRUE
GSK1838705A;D019T01;Protein Tyrosine Kinase;IGF-1, ALK;NA;FALSE;FALSE
GSK2126458 (GSK458);D019T01;PI3K/Akt/mTOR;PI3K, mTOR;NA;FALSE;FALSE
GSK2292767;D019T01;PI3K/Akt/mTOR;PI3K;NA;FALSE;FALSE
GSK461364;D019T01;Cell Cycle;PLK;NA;FALSE;FALSE
GZD824;D019T01;Angiogenesis;Bcr-Abl;NA;TRUE;FALSE
Hesperadin;D019T01;Cell Cycle;Aurora Kinase;NA;FALSE;FALSE
HMN-214;D019T01;Cell Cycle;PLK;plk;FALSE;TRUE
HS-173;D019T01;PI3K/Akt/mTOR;PI3K;NA;FALSE;FALSE
IKK-16 (IKK Inhibitor VII);D019T01;NF-_B;IKK;NA;FALSE;FALSE
IMD 0354;D019T01;NF-_B;IKK;NA;FALSE;FALSE
INK 128 (MLN0128);D019T01;PI3K/Akt/mTOR;mTOR;NA;TRUE;FALSE
Irinotecan / SN-38__0.2;D019T01;NA;TOP1MT;NA;FALSE;FALSE
Irinotecan / SN-38__1.0;D019T01;NA;TOP1MT;NA;FALSE;FALSE
JNJ-7706621;D019T01;Cell Cycle;CDK, Aurora Kinase;NA;FALSE;FALSE
JNK Inhibitor IX;D019T01;MAPK;JNK;NA;FALSE;FALSE
KU-0063794;D019T01;PI3K/Akt/mTOR;mTOR;mtor;TRUE;TRUE
KW-2449;D019T01;Angiogenesis;Flt, Bcr-Abl, Aurora Kinase;NA;TRUE;FALSE
KX2-391;D019T01;Angiogenesis;Src;NA;FALSE;FALSE
LDK378;D019T01;Protein Tyrosine Kinase;ALK;alk;FALSE;TRUE
LY2090314;D019T01;PI3K/Akt/mTOR;GSK-3;NA;FALSE;FALSE
LY2603618;D019T01;Cell Cycle;Chk;NA;FALSE;FALSE
LY2835219;D019T01;Cell Cycle;CDK;NA;FALSE;FALSE
LY3023414;D019T01;PI3K/Akt/mTOR;Akt;NA;FALSE;FALSE
MEK162 (ARRY-162, ARRY-438162);D019T01;MAPK;MEK;NA;TRUE;FALSE
Milciclib (PHA-848125);D019T01;Cell Cycle;CDK;NA;FALSE;FALSE
MK-8745;D019T01;Cell Cycle;Aurora Kinase;aurora kinase;FALSE;TRUE
Mubritinib (TAK 165);D019T01;Protein Tyrosine Kinase;HER2;NA;TRUE;FALSE
NVP-AEW541;D019T01;Protein Tyrosine Kinase;IGF-1R;NA;TRUE;FALSE
OSI-027;D019T01;PI3K/Akt/mTOR;mTOR;mtor;TRUE;TRUE
OSI-906 (Linsitinib);D019T01;Others;IGF-1R;NA;FALSE;FALSE
P276-00;D019T01;Cell Cycle;CDK;cdk;TRUE;TRUE
Pacritinib (SB1518);D019T01;JAK/STAT;JAK;NA;FALSE;FALSE
PD0325901;D019T01;DNA Damage;MEK;mek;FALSE;TRUE
PD173955;D019T01;Angiogenesis;Bcr-Abl;NA;FALSE;FALSE
PD318088;D019T01;MAPK;MEK;NA;FALSE;FALSE
PF-00562271;D019T01;Angiogenesis;FAK;NA;FALSE;FALSE
PF-04691502;D019T01;PI3K/Akt/mTOR;mTOR, PI3K, Akt;mtor;FALSE;TRUE
PF-3758309;D019T01;Cytoskeletal Signaling;PAK;NA;FALSE;FALSE
PF-431396;D019T01;Angiogenesis;FAK;NA;FALSE;FALSE
PF-4708671;D019T01;PI3K/Akt/mTOR;S6 Kinase;NA;FALSE;FALSE
PF-543;D019T01;GPCR & G Protein;SphK1;NA;FALSE;FALSE
PF-562271;D019T01;Angiogenesis;FAK;NA;TRUE;FALSE
PHA-767491;D019T01;Cell Cycle;CDK;NA;FALSE;FALSE
PIK-93;D019T01;PI3K/Akt/mTOR;PI3K, VEGFR;NA;FALSE;FALSE
Pimasertib (AS-703026);D019T01;MAPK;MEK;mek;TRUE;TRUE
PP121;D019T01;Protein Tyrosine Kinase;DNA-PK, mTOR, PDGF;mtor;TRUE;TRUE
PP242;D019T01;PI3K/Akt/mTOR;mTOR;mtor;TRUE;TRUE
Quizartinib (AC220);D019T01;Angiogenesis;Flt;NA;TRUE;FALSE
R547;D019T01;Cell Cycle;CDK;cdk;TRUE;TRUE
RAF265 (CHIR-265);D019T01;MAPK;Raf, VEGFR;NA;TRUE;FALSE
Refametinib (RDEA119, Bay 86-9766);D019T01;Others;MEK;mek;FALSE;TRUE
RepSox;D019T01;TGF-beta/Smad;TGF-beta, Smad;NA;FALSE;FALSE
Rigosertib (ON-01910);D019T01;Cell Cycle;PLK;plk;FALSE;TRUE
Ro 31-8220 Mesylate;D019T01;TGF-beta/Smad;PKC;NA;FALSE;FALSE
Ro3280;D019T01;Cell Cycle;PLK;NA;FALSE;FALSE
Saracatinib (AZD0530);D019T01;Angiogenesis;Src, Bcr-Abl;NA;TRUE;FALSE
SC1;D019T01;MAPK;ERK;erk;TRUE;TRUE
Selumetinib (AZD6244);D019T01;MAPK;MEK;mek;TRUE;TRUE
SGI-7079;D019T01;Protein Tyrosine Kinase;VEGFR;NA;FALSE;FALSE
SNS-032 (BMS-387032);D019T01;Others;CDK;NA;FALSE;FALSE
SNS-314 Mesylate;D019T01;Others;Aurora Kinase;aurora kinase;FALSE;TRUE
Staurosporine_500nM;D019T01;NA;NA;NA;FALSE;FALSE
TAE226 (NVP-TAE226);D019T01;Angiogenesis;FAK;NA;TRUE;FALSE
TAK-733;D019T01;MAPK;MEK;NA;TRUE;FALSE
Tepotinib (EMD 1214063);D019T01;Protein Tyrosine Kinase;c-Met;c-met;FALSE;TRUE
TG101209;D019T01;JAK/STAT;Flt, JAK, c-RET;jak;TRUE;TRUE
TG101348 (SAR302503);D019T01;JAK/STAT;JAK;jak;TRUE;TRUE
Tivantinib (ARQ 197);D019T01;Protein Tyrosine Kinase;c-Met;c-met;FALSE;TRUE
Torin 2;D019T01;PI3K/Akt/mTOR;mTOR;NA;FALSE;FALSE
TPCA-1;D019T01;NF-_B;IKK;NA;FALSE;FALSE
Trametinib (GSK1120212);D019T01;MAPK;MEK;mek;TRUE;TRUE
Triciribine;D019T01;Others;Akt;NA;FALSE;FALSE
Tyrphostin 9;D019T01;Protein Tyrosine Kinase;EGFR;NA;TRUE;FALSE
Ulixertinib (BVD-523, VRT752271);D019T01;MAPK;ERK;erk;TRUE;TRUE
Uprosertib (GSK2141795);D019T01;PI3K/Akt/mTOR;Akt;NA;TRUE;FALSE
Vacquinol-1;D019T01;MAPK;JNK;NA;FALSE;FALSE
VE-822;D019T01;PI3K/Akt/mTOR;ATM, ATR;atm;FALSE;TRUE
